CASEID,pumfid,wght_per,luc_rst,gtu_110,ctw_140c
10000,10000,616.674,1,1,6
10001,10001,8516.614,1,3,6
10002,10002,371.752,1,1,6
10003,10003,1019.3135,1,2,2
10004,10004,1916.0708,1,1,6
10005,10005,1952.2015,1,1,2
10006,10006,5761.5528,1,4,6
10007,10007,466.0426,1,5,6
10008,10008,2479.2991,2,2,2
10009,10009,1436.1641,1,6,6
10010,10010,284.989,3,2,2
10011,10011,1000.4527,1,1,2
10012,10012,1227.6668,2,1,2
10013,10013,3309.1285,1,4,1
10014,10014,3098.2266,1,2,6
10015,10015,4877.7763,1,1,2
10016,10016,312.6028,2,6,6
10017,10017,6425.5112,1,2,2
10018,10018,490.2123,2,3,2
10019,10019,3085.2629,1,2,2
10020,10020,541.1574,1,3,6
10021,10021,658.337,1,6,6
10022,10022,1573.5826,1,3,2
10023,10023,936.0372,1,3,6
10024,10024,1114.0172,1,1,6
10025,10025,1398.974,1,4,2
10026,10026,2287.9467,1,1,1
10027,10027,801.5155,1,2,2
10028,10028,838.4135,1,4,6
10029,10029,1232.1785,1,3,6
10030,10030,351.7384,2,1,6
10031,10031,1151.6956,1,6,6
10032,10032,324.5429,1,1,2
10033,10033,9329.5107,1,2,6
10034,10034,2393.0949,1,1,2
10035,10035,4937.9511,1,2,2
10036,10036,2251.7325,2,1,2
10037,10037,372.2205,2,1,6
10038,10038,294.6127,2,4,6
10039,10039,1508.7606,1,1,7
10040,10040,600.362,2,6,2
10041,10041,1353.8178,1,3,6
10042,10042,2341.709,1,2,6
10043,10043,1851.5148,1,1,2
10044,10044,3484.1418,1,2,6
10045,10045,3128.597,1,1,2
10046,10046,206.2278,1,6,6
10047,10047,1290.539,2,3,6
10048,10048,602.0894,1,2,6
10049,10049,2700.6,1,2,6
10050,10050,1695.1639,1,2,6
10051,10051,4168.5353,1,1,2
10052,10052,2218.6434,1,2,6
10053,10053,762.7176,1,1,2
10054,10054,468.8414,1,2,2
10055,10055,3831.0042,1,1,6
10056,10056,3433.4602,1,1,6
10057,10057,338.4477,3,2,2
10058,10058,696.7584,1,1,6
10059,10059,130.5002,1,2,2
10060,10060,2340.6098,1,1,2
10061,10061,1774.7531,2,4,6
10062,10062,914.7451,1,2,6
10063,10063,1418.3628,1,1,2
10064,10064,3281.4366,1,3,2
10065,10065,500.3623,1,2,6
10066,10066,1679.9302,1,1,1
10067,10067,1416.265,1,2,6
10068,10068,799.612,2,3,2
10069,10069,1608.2738,1,2,2
10070,10070,1062.7183,1,6,6
10071,10071,285.8444,1,5,6
10072,10072,300.6237,1,2,2
10073,10073,1670.3982,1,1,6
10074,10074,235.2738,2,1,2
10075,10075,837.3928,1,3,6
10076,10076,903.9809,1,1,6
10077,10077,1287.0748,1,4,6
10078,10078,2416.2913,1,6,6
10079,10079,29.0618,3,6,6
10080,10080,3804.6711,1,2,1
10081,10081,1090.9245,1,5,2
10082,10082,2306.819,1,1,6
10083,10083,96.398,3,1,6
10084,10084,481.1252,2,6,6
10085,10085,699.1999,1,3,6
10086,10086,1155.9379,1,2,6
10087,10087,1645.9467,1,2,2
10088,10088,1064.6355,2,2,2
10089,10089,1811.1683,1,4,6
10090,10090,1819.8142,2,2,2
10091,10091,6044.3145,1,2,6
10092,10092,450.5487,1,2,6
10093,10093,2595.0806,1,6,2
10094,10094,1434.1628,2,2,2
10095,10095,1589.6716,1,2,2
10096,10096,359.8295,1,6,6
10097,10097,269.6709,1,3,2
10098,10098,1150.7393,1,1,2
10099,10099,314.8332,1,1,2
10100,10100,1174.833,1,3,6
10101,10101,1450.5603,1,2,6
10102,10102,386.4499,1,1,6
10103,10103,413.7423,1,1,2
10104,10104,2538.5576,1,1,2
10105,10105,2056.237,1,1,2
10106,10106,876.9811,1,2,2
10107,10107,220.4937,1,6,6
10108,10108,885.2585,1,6,6
10109,10109,3403.4277,1,1,2
10110,10110,774.7046,1,2,1
10111,10111,2205.1491,1,2,2
10112,10112,2308.3992,1,2,2
10113,10113,5758.03,1,2,6
